Grapheme	IPA	Frequence	Codepoints
uu	uː	210	U+0075 U+0075
uy	uy/ui	74	U+0075 U+0079
uya	u y/j a	16	U+0075 U+0079 U+0061
uye	u y/j e	4	U+0075 U+0079 U+0065
uyu	u y/j u	3	U+0075 U+0079 U+0075
uyɔ	u y/j ɔ	1	U+0075 U+0079 U+0254
uyə	u y/j ə	1	U+0075 U+0079 U+0259
uə	u/w ə	20	U+0075 U+0259
uˀai	uˀ/u ai	1	U+0075 U+02c0 U+0061 U+0069
uˁ	uˤ/u ʕ	6	U+0075 U+02c1
uː	uː	231	U+0075 U+02d0
u̥	u̥/u	61	U+0075 U+0325
v	v	275	U+0076
vh	v h	2	U+0076 U+0068
vs	v s	11	U+0076 U+0073
vv	vv/vː	3	U+0076 U+0076
w	w	585	U+0077
ws	w s	2	U+0077 U+0073
ww	ww/wː	2	U+0077 U+0077
x	x	476	U+0078
xs	x s	7	U+0078 U+0073
xw	x w	2	U+0078 U+0077
xɕ	x ɕ	1	U+0078 U+0255
x́	x́/x	2	U+0078 U+0301
y	y/j	332	U+0079
y:	yː	2	U+0079 U+003a
ya	y/j a	332	U+0079 U+0061
ya:	y/j aː	8	U+0079 U+0061 U+003a
ya:a	y/j aː a	1	U+0079 U+0061 U+003a U+0061
yaa	y/j aː	4	U+0079 U+0061 U+0061
yao	y/j ao	3	U+0079 U+0061 U+006f
yau	y/j au	1	U+0079 U+0061 U+0075
yay	y/j ay/ai	1	U+0079 U+0061 U+0079
yaya	y/j a y/j a	5	U+0079 U+0061 U+0079 U+0061
ye	y/j e	225	U+0079 U+0065
ye:	y/j eː	4	U+0079 U+0065 U+003a
ye:e	y/j eː e	1	U+0079 U+0065 U+003a U+0065
yee	y/j eː	1	U+0079 U+0065 U+0065
yey	y/j ey/ei	8	U+0079 U+0065 U+0079
yi	y/j i	43	U+0079 U+0069
yi:i	y/j iː i	1	U+0079 U+0069 U+003a U+0069
yii	y/j iː	1	U+0079 U+0069 U+0069
yo	y/j o	46	U+0079 U+006f
yo:	y/j oː	3	U+0079 U+006f U+003a
yu	y/j u	92	U+0079 U+0075
yu:	y/j uː	1	U+0079 U+0075 U+003a
yu:u	y/j uː u	2	U+0079 U+0075 U+003a U+0075
yue	y/j ue	1	U+0079 U+0075 U+0065
yuo	y/j uo	1	U+0079 U+0075 U+006f
yuu	y/j uː	1	U+0079 U+0075 U+0075
yy	yy/jː	14	U+0079 U+0079
yɔ	y/j ɔ	9	U+0079 U+0254
yə	y/j ə	3	U+0079 U+0259
